time,realization,experimentVersionNumber,lat,lon,sd
1950-01-01,0,0001,50.1,12.34,0.01169014
1950-02-01,0,0001,50.1,12.34,0.010151863
1950-03-01,0,0001,50.1,12.34,0.0032987595
1950-04-01,0,0001,50.1,12.34,6.866455e-05
1950-05-01,0,0001,50.1,12.34,-7.146841e-25
1950-06-01,0,0001,50.1,12.34,-7.146841e-25
1950-07-01,0,0001,50.1,12.34,-7.3147685e-25
1950-08-01,0,0001,50.1,12.34,-7.345365e-25
1950-09-01,0,0001,50.1,12.34,-7.345365e-25
1950-10-01,0,0001,50.1,12.34,0.002360344
1950-11-01,0,0001,50.1,12.34,0.0054826736
1950-12-01,0,0001,50.1,12.34,0.014261246
1951-01-01,0,0001,50.1,12.34,0.04652691
1951-02-01,0,0001,50.1,12.34,0.053063393
1951-03-01,0,0001,50.1,12.34,0.017202377
1951-04-01,0,0001,50.1,12.34,7.534027e-05
1951-05-01,0,0001,50.1,12.34,-5.8233525e-25
1951-06-01,0,0001,50.1,12.34,-6.659265e-25
1951-07-01,0,0001,50.1,12.34,-7.303917e-25
1951-08-01,0,0001,50.1,12.34,-7.345365e-25
1951-09-01,0,0001,50.1,12.34,-7.345365e-25
1951-10-01,0,0001,50.1,12.34,-7.345365e-25
1951-11-01,0,0001,50.1,12.34,0.00039863586
1951-12-01,0,0001,50.1,12.34,0.0048294067
1952-01-01,0,0001,50.1,12.34,0.016839027
1952-02-01,0,0001,50.1,12.34,0.05562687
1952-03-01,0,0001,50.1,12.34,0.023765564
1952-04-01,0,0001,50.1,12.34,0.001086235
1952-05-01,0,0001,50.1,12.34,-7.098367e-25
1952-06-01,0,0001,50.1,12.34,-7.1529075e-25
1952-07-01,0,0001,50.1,12.34,-7.323307e-25
1952-08-01,0,0001,50.1,12.34,-7.345365e-25
1952-09-01,0,0001,50.1,12.34,-7.345365e-25
1952-10-01,0,0001,50.1,12.34,2.670288e-05
1952-11-01,0,0001,50.1,12.34,0.013748169
1952-12-01,0,0001,50.1,12.34,0.03318405
1953-01-01,0,0001,50.1,12.34,0.07836628
1953-02-01,0,0001,50.1,12.34,0.09367943
1953-03-01,0,0001,50.1,12.34,0.016787529
1953-04-01,0,0001,50.1,12.34,2.861023e-05
1953-05-01,0,0001,50.1,12.34,0.0005607605
1953-06-01,0,0001,50.1,12.34,-7.345365e-25
1953-07-01,0,0001,50.1,12.34,-7.345365e-25
1953-08-01,0,0001,50.1,12.34,-7.345365e-25
1953-09-01,0,0001,50.1,12.34,-7.345365e-25
1953-10-01,0,0001,50.1,12.34,-7.345365e-25
1953-11-01,0,0001,50.1,12.34,5.722046e-06
1953-12-01,0,0001,50.1,12.34,0.0030555725
1954-01-01,0,0001,50.1,12.34,0.032309532
1954-02-01,0,0001,50.1,12.34,0.03173065
1954-03-01,0,0001,50.1,12.34,0.0046100616
1954-04-01,0,0001,50.1,12.34,0.00077724457
1954-05-01,0,0001,50.1,12.34,-7.345365e-25
1954-06-01,0,0001,50.1,12.34,-7.345365e-25
1954-07-01,0,0001,50.1,12.34,-7.345365e-25
1954-08-01,0,0001,50.1,12.34,-7.345365e-25
1954-09-01,0,0001,50.1,12.34,9.536743e-07
1954-10-01,0,0001,50.1,12.34,6.67572e-06
1954-11-01,0,0001,50.1,12.34,0.0015459061
1954-12-01,0,0001,50.1,12.34,0.006344795
1955-01-01,0,0001,50.1,12.34,0.007840157
1955-02-01,0,0001,50.1,12.34,0.021956444
1955-03-01,0,0001,50.1,12.34,0.031029701
1955-04-01,0,0001,50.1,12.34,0.00040340424
1955-05-01,0,0001,50.1,12.34,6.67572e-06
1955-06-01,0,0001,50.1,12.34,-7.345365e-25
1955-07-01,0,0001,50.1,12.34,-7.345365e-25
1955-08-01,0,0001,50.1,12.34,-7.345365e-25
1955-09-01,0,0001,50.1,12.34,-7.345365e-25
1955-10-01,0,0001,50.1,12.34,9.6321106e-05
1955-11-01,0,0001,50.1,12.34,0.0040416718
1955-12-01,0,0001,50.1,12.34,0.004962921
1956-01-01,0,0001,50.1,12.34,0.015666008
1956-02-01,0,0001,50.1,12.34,0.028367043
1956-03-01,0,0001,50.1,12.34,0.011780739
1956-04-01,0,0001,50.1,12.34,0.0016899109
1956-05-01,0,0001,50.1,12.34,-7.345365e-25
1956-06-01,0,0001,50.1,12.34,-7.345365e-25
1956-07-01,0,0001,50.1,12.34,-7.345365e-25
1956-08-01,0,0001,50.1,12.34,-7.345365e-25
1956-09-01,0,0001,50.1,12.34,-7.345365e-25
1956-10-01,0,0001,50.1,12.34,0.00034236908
1956-11-01,0,0001,50.1,12.34,0.0015048981
1956-12-01,0,0001,50.1,12.34,0.0040750504
1957-01-01,0,0001,50.1,12.34,0.010011673
1957-02-01,0,0001,50.1,12.34,0.0047683716
1957-03-01,0,0001,50.1,12.34,0.0022974014
1957-04-01,0,0001,50.1,12.34,0.00031757355
1957-05-01,0,0001,50.1,12.34,0.00023365021
1957-06-01,0,0001,50.1,12.34,-7.345365e-25
1957-07-01,0,0001,50.1,12.34,-7.345365e-25
1957-08-01,0,0001,50.1,12.34,-7.345365e-25
1957-09-01,0,0001,50.1,12.34,-7.345365e-25
1957-10-01,0,0001,50.1,12.34,-7.345365e-25
1957-11-01,0,0001,50.1,12.34,9.250641e-05
1957-12-01,0,0001,50.1,12.34,0.0108680725
1958-01-01,0,0001,50.1,12.34,0.049674034
1958-02-01,0,0001,50.1,12.34,0.038371086
1958-03-01,0,0001,50.1,12.34,0.04342842
1958-04-01,0,0001,50.1,12.34,0.0029907227
1958-05-01,0,0001,50.1,12.34,-7.345365e-25
1958-06-01,0,0001,50.1,12.34,-7.345365e-25
1958-07-01,0,0001,50.1,12.34,-7.345365e-25
1958-08-01,0,0001,50.1,12.34,-7.345365e-25
1958-09-01,0,0001,50.1,12.34,-7.345365e-25
1958-10-01,0,0001,50.1,12.34,2.9563904e-05
1958-11-01,0,0001,50.1,12.34,7.1525574e-05
1958-12-01,0,0001,50.1,12.34,0.010471344
1959-01-01,0,0001,50.1,12.34,0.0153265
1959-02-01,0,0001,50.1,12.34,0.00971508
1959-03-01,0,0001,50.1,12.34,0.00030994415
1959-04-01,0,0001,50.1,12.34,0.00016975403
1959-05-01,0,0001,50.1,12.34,-7.345365e-25
1959-06-01,0,0001,50.1,12.34,-7.345365e-25
1959-07-01,0,0001,50.1,12.34,-7.345365e-25
1959-08-01,0,0001,50.1,12.34,-7.345365e-25
1959-09-01,0,0001,50.1,12.34,-7.345365e-25
1959-10-01,0,0001,50.1,12.34,0.00020503998
1959-11-01,0,0001,50.1,12.34,0.0014591217
1959-12-01,0,0001,50.1,12.34,0.004597664
1960-01-01,0,0001,50.1,12.34,0.016148567
1960-02-01,0,0001,50.1,12.34,0.02948761
1960-03-01,0,0001,50.1,12.34,0.0018129349
1960-04-01,0,0001,50.1,12.34,0.0003824234
1960-05-01,0,0001,50.1,12.34,3.2424927e-05
1960-06-01,0,0001,50.1,12.34,-7.345365e-25
1960-07-01,0,0001,50.1,12.34,-7.345365e-25
1960-08-01,0,0001,50.1,12.34,-7.345365e-25
1960-09-01,0,0001,50.1,12.34,-7.345365e-25
1960-10-01,0,0001,50.1,12.34,3.2424927e-05
1960-11-01,0,0001,50.1,12.34,9.918213e-05
1960-12-01,0,0001,50.1,12.34,0.016132355
1961-01-01,0,0001,50.1,12.34,0.05415249
1961-02-01,0,0001,50.1,12.34,0.027014732
1961-03-01,0,0001,50.1,12.34,0.0012989044
1961-04-01,0,0001,50.1,12.34,4.7683716e-06
1961-05-01,0,0001,50.1,12.34,-7.345365e-25
1961-06-01,0,0001,50.1,12.34,-7.345365e-25
1961-07-01,0,0001,50.1,12.34,-7.345365e-25
1961-08-01,0,0001,50.1,12.34,-7.345365e-25
1961-09-01,0,0001,50.1,12.34,-7.345365e-25
1961-10-01,0,0001,50.1,12.34,-7.345365e-25
1961-11-01,0,0001,50.1,12.34,0.00069999695
1961-12-01,0,0001,50.1,12.34,0.005627632
1962-01-01,0,0001,50.1,12.34,0.008033752
1962-02-01,0,0001,50.1,12.34,0.025509834
1962-03-01,0,0001,50.1,12.34,0.029678345
1962-04-01,0,0001,50.1,12.34,0.00037670135
1962-05-01,0,0001,50.1,12.34,0.00023460388
1962-06-01,0,0001,50.1,12.34,-7.345365e-25
1962-07-01,0,0001,50.1,12.34,-7.345365e-25
1962-08-01,0,0001,50.1,12.34,-7.345365e-25
1962-09-01,0,0001,50.1,12.34,-7.345365e-25
1962-10-01,0,0001,50.1,12.34,2.3841858e-05
1962-11-01,0,0001,50.1,12.34,0.0049524307
1962-12-01,0,0001,50.1,12.34,0.04173374
1963-01-01,0,0001,50.1,12.34,0.083208084
1963-02-01,0,0001,50.1,12.34,0.10377979
1963-03-01,0,0001,50.1,12.34,0.053647995
1963-04-01,0,0001,50.1,12.34,0.00023078918
1963-05-01,0,0001,50.1,12.34,-7.345365e-25
1963-06-01,0,0001,50.1,12.34,-7.345365e-25
1963-07-01,0,0001,50.1,12.34,-7.345365e-25
1963-08-01,0,0001,50.1,12.34,-7.345365e-25
1963-09-01,0,0001,50.1,12.34,-7.345365e-25
1963-10-01,0,0001,50.1,12.34,-7.345365e-25
1963-11-01,0,0001,50.1,12.34,7.915497e-05
1963-12-01,0,0001,50.1,12.34,0.0019187927
1964-01-01,0,0001,50.1,12.34,0.022677422
1964-02-01,0,0001,50.1,12.34,0.03436947
1964-03-01,0,0001,50.1,12.34,0.009282112
1964-04-01,0,0001,50.1,12.34,0.0002603531
1964-05-01,0,0001,50.1,12.34,-7.345365e-25
1964-06-01,0,0001,50.1,12.34,-7.345365e-25
1964-07-01,0,0001,50.1,12.34,-7.345365e-25
1964-08-01,0,0001,50.1,12.34,-7.345365e-25
1964-09-01,0,0001,50.1,12.34,-7.345365e-25
1964-10-01,0,0001,50.1,12.34,0.00037288666
1964-11-01,0,0001,50.1,12.34,0.00043964386
1964-12-01,0,0001,50.1,12.34,0.014613152
1965-01-01,0,0001,50.1,12.34,0.020998955
1965-02-01,0,0001,50.1,12.34,0.0735054
1965-03-01,0,0001,50.1,12.34,0.07544708
1965-04-01,0,0001,50.1,12.34,4.005432e-05
1965-05-01,0,0001,50.1,12.34,-7.345365e-25
1965-06-01,0,0001,50.1,12.34,-7.345365e-25
1965-07-01,0,0001,50.1,12.34,-7.345365e-25
1965-08-01,0,0001,50.1,12.34,-7.345365e-25
1965-09-01,0,0001,50.1,12.34,-7.345365e-25
1965-10-01,0,0001,50.1,12.34,-7.345365e-25
1965-11-01,0,0001,50.1,12.34,0.0092659
1965-12-01,0,0001,50.1,12.34,0.02230072
1966-01-01,0,0001,50.1,12.34,0.011230469
1966-02-01,0,0001,50.1,12.34,0.0017261505
1966-03-01,0,0001,50.1,12.34,0.0032291412
1966-04-01,0,0001,50.1,12.34,0.0005493164
1966-05-01,0,0001,50.1,12.34,-7.345365e-25
1966-06-01,0,0001,50.1,12.34,-7.345365e-25
1966-07-01,0,0001,50.1,12.34,-7.345365e-25
1966-08-01,0,0001,50.1,12.34,-7.345365e-25
1966-09-01,0,0001,50.1,12.34,-7.345365e-25
1966-10-01,0,0001,50.1,12.34,1.2397766e-05
1966-11-01,0,0001,50.1,12.34,0.0094347
1966-12-01,0,0001,50.1,12.34,0.03639412
1967-01-01,0,0001,50.1,12.34,0.043733597
1967-02-01,0,0001,50.1,12.34,0.005133629
1967-03-01,0,0001,50.1,12.34,0.0025691986
1967-04-01,0,0001,50.1,12.34,0.00056552887
1967-05-01,0,0001,50.1,12.34,-7.345365e-25
1967-06-01,0,0001,50.1,12.34,-7.345365e-25
1967-07-01,0,0001,50.1,12.34,-7.345365e-25
1967-08-01,0,0001,50.1,12.34,-7.345365e-25
1967-09-01,0,0001,50.1,12.34,-7.345365e-25
1967-10-01,0,0001,50.1,12.34,-7.345365e-25
1967-11-01,0,0001,50.1,12.34,0.0006351471
1967-12-01,0,0001,50.1,12.34,0.032592773
1968-01-01,0,0001,50.1,12.34,0.03927517
1968-02-01,0,0001,50.1,12.34,0.026652336
1968-03-01,0,0001,50.1,12.34,0.021467209
1968-04-01,0,0001,50.1,12.34,0.00036144257
1968-05-01,0,0001,50.1,12.34,-7.345365e-25
1968-06-01,0,0001,50.1,12.34,-7.345365e-25
1968-07-01,0,0001,50.1,12.34,-7.345365e-25
1968-08-01,0,0001,50.1,12.34,-7.345365e-25
1968-09-01,0,0001,50.1,12.34,-7.345365e-25
1968-10-01,0,0001,50.1,12.34,-7.345365e-25
1968-11-01,0,0001,50.1,12.34,0.002243042
1968-12-01,0,0001,50.1,12.34,0.006427765
1969-01-01,0,0001,50.1,12.34,0.04079151
1969-02-01,0,0001,50.1,12.34,0.028841019
1969-03-01,0,0001,50.1,12.34,0.016000748
1969-04-01,0,0001,50.1,12.34,0.0013599396
1969-05-01,0,0001,50.1,12.34,-7.345365e-25
1969-06-01,0,0001,50.1,12.34,-7.345365e-25
1969-07-01,0,0001,50.1,12.34,-7.345365e-25
1969-08-01,0,0001,50.1,12.34,-7.345365e-25
1969-09-01,0,0001,50.1,12.34,-7.345365e-25
1969-10-01,0,0001,50.1,12.34,-7.345365e-25
1969-11-01,0,0001,50.1,12.34,0.0042877197
1969-12-01,0,0001,50.1,12.34,0.043218613
1970-01-01,0,0001,50.1,12.34,0.07561302
1970-02-01,0,0001,50.1,12.34,0.11518955
1970-03-01,0,0001,50.1,12.34,0.16000652
1970-04-01,0,0001,50.1,12.34,0.054548264
1970-05-01,0,0001,50.1,12.34,0.0007390976
1970-06-01,0,0001,50.1,12.34,-7.345365e-25
1970-07-01,0,0001,50.1,12.34,-7.345365e-25
1970-08-01,0,0001,50.1,12.34,-7.345365e-25
1970-09-01,0,0001,50.1,12.34,-7.345365e-25
1970-10-01,0,0001,50.1,12.34,0.00040721893
1970-11-01,0,0001,50.1,12.34,8.9645386e-05
1970-12-01,0,0001,50.1,12.34,0.0058956146
1971-01-01,0,0001,50.1,12.34,0.021759033
1971-02-01,0,0001,50.1,12.34,0.0056324005
1971-03-01,0,0001,50.1,12.34,0.014748573
1971-04-01,0,0001,50.1,12.34,8.010864e-05
1971-05-01,0,0001,50.1,12.34,9.536743e-06
1971-06-01,0,0001,50.1,12.34,-7.345365e-25
1971-07-01,0,0001,50.1,12.34,-7.345365e-25
1971-08-01,0,0001,50.1,12.34,-7.345365e-25
1971-09-01,0,0001,50.1,12.34,-7.345365e-25
1971-10-01,0,0001,50.1,12.34,0.00031852722
1971-11-01,0,0001,50.1,12.34,0.010250092
1971-12-01,0,0001,50.1,12.34,0.006354332
1972-01-01,0,0001,50.1,12.34,0.008803368
1972-02-01,0,0001,50.1,12.34,0.008271217
1972-03-01,0,0001,50.1,12.34,0.00067329407
1972-04-01,0,0001,50.1,12.34,0.000104904175
1972-05-01,0,0001,50.1,12.34,9.536743e-07
1972-06-01,0,0001,50.1,12.34,-7.345365e-25
1972-07-01,0,0001,50.1,12.34,-7.345365e-25
1972-08-01,0,0001,50.1,12.34,-7.345365e-25
1972-09-01,0,0001,50.1,12.34,-7.345365e-25
1972-10-01,0,0001,50.1,12.34,0.0006418228
1972-11-01,0,0001,50.1,12.34,0.005973816
1972-12-01,0,0001,50.1,12.34,0.0009975433
1973-01-01,0,0001,50.1,12.34,0.0053138733
1973-02-01,0,0001,50.1,12.34,0.018227577
1973-03-01,0,0001,50.1,12.34,0.016116142
1973-04-01,0,0001,50.1,12.34,0.007666588
1973-05-01,0,0001,50.1,12.34,-7.345365e-25
1973-06-01,0,0001,50.1,12.34,-7.345365e-25
1973-07-01,0,0001,50.1,12.34,-7.345365e-25
1973-08-01,0,0001,50.1,12.34,-7.345365e-25
1973-09-01,0,0001,50.1,12.34,-7.345365e-25
1973-10-01,0,0001,50.1,12.34,0.00035762787
1973-11-01,0,0001,50.1,12.34,0.0035095215
1973-12-01,0,0001,50.1,12.34,0.031942368
1974-01-01,0,0001,50.1,12.34,0.025616646
