time,realization,experimentVersionNumber,lat,lon,t2m
1950-01-02,0,0001,50.74,15.74,265.6482
1950-02-02,0,0001,50.74,15.74,270.8186
1950-03-02,0,0001,50.74,15.74,273.69165
1950-04-02,0,0001,50.74,15.74,277.50635
1950-05-02,0,0001,50.74,15.74,284.6997
1950-06-02,0,0001,50.74,15.74,287.87646
1950-07-02,0,0001,50.74,15.74,289.09766
1950-08-02,0,0001,50.74,15.74,288.80493
1950-09-02,0,0001,50.74,15.74,283.6963
1950-10-02,0,0001,50.74,15.74,277.7329
1950-11-02,0,0001,50.74,15.74,273.4204
1950-12-02,0,0001,50.74,15.74,269.1051
1951-01-02,0,0001,50.74,15.74,269.78784
1951-02-02,0,0001,50.74,15.74,270.9568
1951-03-02,0,0001,50.74,15.74,271.00708
1951-04-02,0,0001,50.74,15.74,276.77612
1951-05-02,0,0001,50.74,15.74,281.78638
1951-06-02,0,0001,50.74,15.74,286.2683
1951-07-02,0,0001,50.74,15.74,287.8064
1951-08-02,0,0001,50.74,15.74,289.06152
1951-09-02,0,0001,50.74,15.74,285.63306
1951-10-02,0,0001,50.74,15.74,278.16187
1951-11-02,0,0001,50.74,15.74,276.2102
1951-12-02,0,0001,50.74,15.74,271.12036
1952-01-02,0,0001,50.74,15.74,268.67236
1952-02-02,0,0001,50.74,15.74,268.89868
1952-03-02,0,0001,50.74,15.74,268.98535
1952-04-02,0,0001,50.74,15.74,279.1626
1952-05-02,0,0001,50.74,15.74,281.85938
1952-06-02,0,0001,50.74,15.74,285.41016
1952-07-02,0,0001,50.74,15.74,288.9973
1952-08-02,0,0001,50.74,15.74,289.6018
1952-09-02,0,0001,50.74,15.74,281.36255
1952-10-02,0,0001,50.74,15.74,276.6931
1952-11-02,0,0001,50.74,15.74,270.9879
1952-12-02,0,0001,50.74,15.74,267.31323
1953-01-02,0,0001,50.74,15.74,267.89856
1953-02-02,0,0001,50.74,15.74,268.7296
1953-03-02,0,0001,50.74,15.74,273.0149
1953-04-02,0,0001,50.74,15.74,279.03467
1953-05-02,0,0001,50.74,15.74,282.53394
1953-06-02,0,0001,50.74,15.74,287.4756
1953-07-02,0,0001,50.74,15.74,289.1455
1953-08-02,0,0001,50.74,15.74,286.93457
1953-09-02,0,0001,50.74,15.74,284.19556
1953-10-02,0,0001,50.74,15.74,281.23376
1953-11-02,0,0001,50.74,15.74,274.01978
1953-12-02,0,0001,50.74,15.74,271.43933
1954-01-02,0,0001,50.74,15.74,262.8977
1954-02-02,0,0001,50.74,15.74,262.96655
1954-03-02,0,0001,50.74,15.74,273.41113
1954-04-02,0,0001,50.74,15.74,274.3911
1954-05-02,0,0001,50.74,15.74,282.01685
1954-06-02,0,0001,50.74,15.74,287.07886
1954-07-02,0,0001,50.74,15.74,285.3999
1954-08-02,0,0001,50.74,15.74,287.04565
1954-09-02,0,0001,50.74,15.74,284.2749
1954-10-02,0,0001,50.74,15.74,278.73413
1954-11-02,0,0001,50.74,15.74,272.0044
1954-12-02,0,0001,50.74,15.74,271.74927
1955-01-02,0,0001,50.74,15.74,265.85693
1955-02-02,0,0001,50.74,15.74,266.3745
1955-03-02,0,0001,50.74,15.74,269.11365
1955-04-02,0,0001,50.74,15.74,274.38037
1955-05-02,0,0001,50.74,15.74,280.48975
1955-06-02,0,0001,50.74,15.74,284.9209
1955-07-02,0,0001,50.74,15.74,287.8291
1955-08-02,0,0001,50.74,15.74,287.39526
1955-09-02,0,0001,50.74,15.74,284.40613
1955-10-02,0,0001,50.74,15.74,278.43372
1955-11-02,0,0001,50.74,15.74,273.43274
1955-12-02,0,0001,50.74,15.74,270.34888
1956-01-02,0,0001,50.74,15.74,267.9995
1956-02-02,0,0001,50.74,15.74,258.979
1956-03-02,0,0001,50.74,15.74,270.68384
1956-04-02,0,0001,50.74,15.74,274.63403
1956-05-02,0,0001,50.74,15.74,282.30615
1956-06-02,0,0001,50.74,15.74,284.67896
1956-07-02,0,0001,50.74,15.74,287.45972
1956-08-02,0,0001,50.74,15.74,285.40356
1956-09-02,0,0001,50.74,15.74,284.3352
1956-10-02,0,0001,50.74,15.74,278.66138
1956-11-02,0,0001,50.74,15.74,269.94092
1956-12-02,0,0001,50.74,15.74,270.04565
1957-01-02,0,0001,50.74,15.74,268.07886
1957-02-02,0,0001,50.74,15.74,272.11865
1957-03-02,0,0001,50.74,15.74,274.42017
1957-04-02,0,0001,50.74,15.74,277.4126
1957-05-02,0,0001,50.74,15.74,279.86304
1957-06-02,0,0001,50.74,15.74,287.2622
1957-07-02,0,0001,50.74,15.74,288.49756
1957-08-02,0,0001,50.74,15.74,285.52808
1957-09-02,0,0001,50.74,15.74,281.68506
1957-10-02,0,0001,50.74,15.74,279.02563
1957-11-02,0,0001,50.74,15.74,275.06506
1957-12-02,0,0001,50.74,15.74,268.90186
1958-01-02,0,0001,50.74,15.74,267.3728
1958-02-02,0,0001,50.74,15.74,270.13745
1958-03-02,0,0001,50.74,15.74,267.93384
1958-04-02,0,0001,50.74,15.74,273.5586
1958-05-02,0,0001,50.74,15.74,284.16333
1958-06-02,0,0001,50.74,15.74,284.95312
1958-07-02,0,0001,50.74,15.74,288.1919
1958-08-02,0,0001,50.74,15.74,287.35596
1958-09-02,0,0001,50.74,15.74,284.2473
1958-10-02,0,0001,50.74,15.74,279.41235
1958-11-02,0,0001,50.74,15.74,275.15967
1958-12-02,0,0001,50.74,15.74,270.5044
1959-01-02,0,0001,50.74,15.74,268.12183
1959-02-02,0,0001,50.74,15.74,268.88647
1959-03-02,0,0001,50.74,15.74,275.22827
1959-04-02,0,0001,50.74,15.74,278.82568
1959-05-02,0,0001,50.74,15.74,282.79468
1959-06-02,0,0001,50.74,15.74,285.92212
1959-07-02,0,0001,50.74,15.74,289.14453
1959-08-02,0,0001,50.74,15.74,287.74902
1959-09-02,0,0001,50.74,15.74,282.76953
1959-10-02,0,0001,50.74,15.74,278.26404
1959-11-02,0,0001,50.74,15.74,273.62354
1959-12-02,0,0001,50.74,15.74,271.28894
1960-01-02,0,0001,50.74,15.74,267.03076
1960-02-02,0,0001,50.74,15.74,266.7705
1960-03-02,0,0001,50.74,15.74,272.60327
1960-04-02,0,0001,50.74,15.74,276.2671
1960-05-02,0,0001,50.74,15.74,282.32153
1960-06-02,0,0001,50.74,15.74,286.3584
1960-07-02,0,0001,50.74,15.74,286.02148
1960-08-02,0,0001,50.74,15.74,286.9226
1960-09-02,0,0001,50.74,15.74,282.97363
1960-10-02,0,0001,50.74,15.74,279.53516
1960-11-02,0,0001,50.74,15.74,275.0995
1960-12-02,0,0001,50.74,15.74,271.71094
1961-01-02,0,0001,50.74,15.74,266.4165
1961-02-02,0,0001,50.74,15.74,272.10938
1961-03-02,0,0001,50.74,15.74,275.3086
1961-04-02,0,0001,50.74,15.74,280.9956
1961-05-02,0,0001,50.74,15.74,280.79688
1961-06-02,0,0001,50.74,15.74,286.78296
1961-07-02,0,0001,50.74,15.74,285.6731
1961-08-02,0,0001,50.74,15.74,286.1311
1961-09-02,0,0001,50.74,15.74,286.31787
1961-10-02,0,0001,50.74,15.74,280.98608
1961-11-02,0,0001,50.74,15.74,273.91846
1961-12-02,0,0001,50.74,15.74,267.5061
1962-01-02,0,0001,50.74,15.74,268.9651
1962-02-02,0,0001,50.74,15.74,267.5869
1962-03-02,0,0001,50.74,15.74,268.4082
1962-04-02,0,0001,50.74,15.74,278.67114
1962-05-02,0,0001,50.74,15.74,279.92065
1962-06-02,0,0001,50.74,15.74,283.93994
1962-07-02,0,0001,50.74,15.74,285.11353
1962-08-02,0,0001,50.74,15.74,286.75244
1962-09-02,0,0001,50.74,15.74,282.57275
1962-10-02,0,0001,50.74,15.74,279.2445
1962-11-02,0,0001,50.74,15.74,273.33032
1962-12-02,0,0001,50.74,15.74,264.62915
1963-01-02,0,0001,50.74,15.74,260.85962
1963-02-02,0,0001,50.74,15.74,264.44336
1963-03-02,0,0001,50.74,15.74,270.60083
1963-04-02,0,0001,50.74,15.74,277.55933
1963-05-02,0,0001,50.74,15.74,282.61
1963-06-02,0,0001,50.74,15.74,286.40063
1963-07-02,0,0001,50.74,15.74,288.47607
1963-08-02,0,0001,50.74,15.74,287.15698
1963-09-02,0,0001,50.74,15.74,284.92285
1963-10-02,0,0001,50.74,15.74,278.79358
1963-11-02,0,0001,50.74,15.74,277.0896
1963-12-02,0,0001,50.74,15.74,265.9463
1964-01-02,0,0001,50.74,15.74,265.85327
1964-02-02,0,0001,50.74,15.74,267.49585
1964-03-02,0,0001,50.74,15.74,268.9751
1964-04-02,0,0001,50.74,15.74,278.11523
1964-05-02,0,0001,50.74,15.74,282.88086
1964-06-02,0,0001,50.74,15.74,288.23315
1964-07-02,0,0001,50.74,15.74,288.18042
1964-08-02,0,0001,50.74,15.74,285.79517
1964-09-02,0,0001,50.74,15.74,283.687
1964-10-02,0,0001,50.74,15.74,278.0902
1964-11-02,0,0001,50.74,15.74,274.38452
1964-12-02,0,0001,50.74,15.74,268.80322
1965-01-02,0,0001,50.74,15.74,269.4026
1965-02-02,0,0001,50.74,15.74,265.70117
1965-03-02,0,0001,50.74,15.74,270.51147
1965-04-02,0,0001,50.74,15.74,276.0376
1965-05-02,0,0001,50.74,15.74,280.64307
1965-06-02,0,0001,50.74,15.74,285.67236
1965-07-02,0,0001,50.74,15.74,286.0066
1965-08-02,0,0001,50.74,15.74,285.51733
1965-09-02,0,0001,50.74,15.74,284.14453
1965-10-02,0,0001,50.74,15.74,278.6422
1965-11-02,0,0001,50.74,15.74,269.9912
